Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
246.216,10.79,14094.81,1056.8,0.0,355.0,1014.0
206.444,3.13,14037.49,883.0,0.0,99.0,1007.0
200.752,5.5,13978.27,857.0,0.0,54.0,998.0
189.2,4.724,14146.14,806.0,0.0,0.0,1022.0
173.718,3.796,14225.56,744.6,0.0,33.0,885.0
115.134,3.956,14401.02,499.2,0.0,0.0,0.0
124.904,7.288,14428.39,538.2,0.0,33.0,0.0
156.04,5.602,14444.64,667.2,0.0,657.0,0.0
147.762,7.486,14582.88,631.8,0.0,885.0,0.0
99.27,3.912,14723.81,428.4,0.0,37.0,0.0
98.77,6.096,14653.35,429.8,0.0,43.0,0.0
151.716,3.656,14608.02,634.6,0.0,10.0,812.0
102.99,4.954,14638.18,447.0,0.0,37.0,0.0
63.018,4.218,14600.03,262.6,0.0,16.0,0.0
113.632,4.41,14505.31,479.6,0.0,18.0,0.0
154.45,6.508,14395.33,662.0,0.0,444.0,0.0
122.192,4.666,14305.84,524.2,1.0,35.0,363.0
220.742,13.954,14094.6,946.6,642.0,1620.0,1014.0
135.486,12.666,14285.03,569.4,457.0,17.0,1042.0
108.576,18.36,14274.01,462.0,0.0,33.0,1040.0
110.156,10.808,14518.67,456.6,0.0,0.0,1075.0
127.516,12.2,14598.55,522.8,0.0,32.0,1086.0
200.492,5.532,14331.94,838.8,515.0,0.0,1049.0
213.152,8.092,14095.88,905.0,418.0,32.0,1014.0
208.448,7.512,14098.55,885.6,0.0,0.0,1016.0
202.25,13.038,14031.82,865.6,0.0,20.0,1006.0
177.756,13.454,13990.71,764.6,0.0,34.0,1000.0
204.95,17.544,14287.99,863.4,0.0,73.0,1042.0
155.268,17.59,14383.99,649.8,0.0,68.0,782.0
54.25,9.852,14677.49,227.8,0.0,2.0,0.0
21.068,12.08,14732.27,99.4,0.0,48.0,0.0
17.362,6.932,14624.44,76.6,0.0,14.0,0.0
18.312,8.534,14690.85,83.0,0.0,21.0,0.0
18.532,8.694,14792.61,83.6,0.0,29.0,0.0
23.904,5.016,14747.35,101.2,0.0,5.0,129.0
55.962,8.29,14698.77,231.0,0.0,32.0,624.0
16.748,5.63,14747.17,72.8,0.0,0.0,0.0
56.528,8.97,14670.87,238.4,0.0,32.0,44.0
183.044,6.16,14330.99,765.0,505.0,0.0,1050.0
112.778,5.55,14272.54,471.8,558.0,31.0,1040.0
77.824,3.002,14255.01,324.6,0.0,0.0,1038.0
81.336,6.376,14356.96,337.6,0.0,24.0,1052.0
99.16,3.804,14463.14,405.6,0.0,7.0,1067.0
107.946,8.942,14581.9,447.8,0.0,14.0,1084.0
95.834,4.426,14480.79,395.4,0.0,18.0,1004.0
110.648,3.172,14543.77,452.4,0.0,0.0,1079.0
104.17,6.64,14560.77,425.4,0.0,31.0,1081.0
128.62,11.204,14452.23,537.8,0.0,0.0,1065.0
139.968,8.048,14249.13,587.6,0.0,35.0,1036.0
134.994,5.568,14216.58,567.4,0.0,168.0,607.0
167.198,13.022,14091.25,718.0,0.0,408.0,190.0
185.678,4.742,14093.26,793.8,0.0,0.0,828.0
97.814,4.552,14324.96,413.2,0.0,15.0,0.0
120.792,7.768,14472.88,506.0,0.0,1208.0,0.0
50.164,7.46,14597.34,219.0,0.0,553.0,0.0
51.928,4.044,14481.13,218.8,0.0,35.0,533.0
19.94,6.74,14595.25,89.2,0.0,44.0,0.0
18.464,4.41,14760.21,81.8,0.0,10.0,0.0
19.738,6.14,14632.99,89.2,0.0,32.0,0.0
18.414,4.328,14625.51,83.2,0.0,21.0,0.0
18.126,3.754,14582.26,81.0,0.0,10.0,0.0
56.628,6.85,14477.34,244.6,0.0,37.0,0.0
170.244,5.732,14248.45,720.4,0.0,463.0,855.0
233.498,7.33,14203.75,997.4,839.0,1856.0,811.0
24.158,4.292,14447.71,107.2,0.0,118.0,0.0
90.712,7.636,14486.5,389.0,0.0,1166.0,0.0
83.288,7.952,14512.02,357.8,0.0,1135.0,0.0
18.768,6.03,14599.98,82.2,0.0,47.0,0.0
17.228,5.85,14687.61,75.2,0.0,37.0,0.0
17.724,6.158,14719.12,78.4,0.0,17.0,0.0
50.702,4.034,14524.01,209.4,0.0,30.0,567.0
84.678,6.078,14480.26,348.4,0.0,24.0,1070.0
154.004,8.328,14272.26,648.6,0.0,17.0,1039.0
112.2,6.62,14310.76,468.4,0.0,36.0,1046.0
145.808,5.586,14470.51,607.2,0.0,577.0,276.0
